C;CPP;Java;Python;Ruby;R
1376.8740533333332;1368.4951066666665;2915.96824;6170.842206666666;13909.701666666664;8825.509286666667
1414.2086199999999;1431.9615199999998;3057.4151133333335;6242.706186666665;14157.98968;9208.9565
1361.7304599999998;1371.3665133333334;2919.3266733333326;6067.478719999999;13810.87004;8814.166479999998
1382.94568;1386.31068;2935.994486666667;6022.712399999999;13828.282413333332;8871.824086666667
1372.1271133333335;1357.6832066666668;2894.378726666667;5999.8545866666645;13725.740880000001;8856.526266666666
1397.3193866666668;1396.414293333333;2991.4585466666667;6112.448213333333;13862.93279333333;8961.001446666667
1424.4170066666666;1428.7155533333332;3034.967940000001;6154.573566666667;13997.516559999998;9149.946966666668
1334.5176333333332;1333.84282;2835.8316399999994;5987.621446666667;13648.151413333335;8613.711246666668
1311.3968133333333;1323.0042733333332;2797.730153333333;5908.396599999999;13592.617946666665;8459.220166666666
1322.8810933333334;1315.2511999999997;2814.4947200000006;5920.807413333333;13566.081960000001;8531.413953333335
1327.1799999999998;1325.3959266666666;2807.212826666667;5949.75866;13580.954973333333;8542.786019999998
1328.58656;1345.3278533333335;2817.2607066666665;5958.383526666666;13591.414480000003;8624.856333333333
1341.3920933333334;1341.7046466666663;2834.342553333334;5958.083866666666;13614.43773333333;8627.780746666667
1354.7898733333334;1334.4684333333332;2864.8500266666665;5972.566860000001;13608.889626666667;8712.953666666666
1330.0034600000001;1336.1346999999998;2816.4788200000007;5978.360346666666;13600.515933333334;8581.127220000002
1326.1603066666664;1337.6190066666666;2846.3782399999996;5968.0558;13581.073733333333;8591.630580000001
1323.1848400000001;1324.1832533333331;2802.0868600000003;5942.289366666667;13579.18419333333;8534.784366666667
1321.4900799999998;1324.8259399999997;2821.6720399999995;5949.009186666667;13594.927446666665;8485.04226
1333.964173333333;1315.38998;2772.6047666666664;5926.988760000001;13566.3626;8446.069913333333
1315.98424;1309.2147866666667;2753.3239666666664;5906.6338866666665;13519.458293333331;8456.126926666668
1335.887;1315.58644;2793.089993333333;5898.4367533333325;13526.82731333333;8453.01116
1308.7875466666667;1303.3547266666667;2777.6501133333336;5890.613206666666;13525.722753333332;8411.967106666667
1307.3772933333335;1302.1777133333333;2768.12276;5910.147859999999;13517.546193333332;8453.657139999998
1332.6126733333333;1342.1575;2805.6195933333333;5962.023986666667;13586.949639999999;8518.255113333335
